Id,Cover_Type
15121,5
15122,5
15123,2
15124,2
15125,5
15126,2
15127,5
15128,5
15129,5
15130,5
15131,5
15132,2
15133,2
15134,5
15135,5
15136,5
15137,5
15138,5
15139,5
15140,5
15141,5
15142,2
15143,5
15144,5
15145,5
15146,5
15147,5
15148,2
15149,2
15150,5
15151,5
15152,5
15153,5
15154,5
15155,5
15156,2
15157,5
15158,5
15159,5
15160,5
15161,1
15162,2
15163,5
15164,5
15165,2
15166,5
15167,5
15168,5
15169,5
15170,5
15171,5
15172,1
15173,1
15174,5
15175,5
15176,1
15177,5
15178,5
15179,5
15180,5
15181,5
15182,2
15183,2
15184,5
15185,5
15186,5
15187,5
15188,1
15189,2
15190,2
15191,2
15192,2
15193,2
15194,2
15195,2
15196,2
15197,2
15198,2
15199,1
15200,2
15201,1
15202,2
15203,1
15204,1
15205,2
15206,1
15207,2
15208,2
15209,2
15210,2
15211,2
15212,2
15213,2
15214,2
15215,2
15216,1
15217,2
15218,2
15219,2
15220,2
15221,2
15222,2
15223,2
15224,1
15225,2
15226,2
15227,2
15228,2
15229,1
15230,2
15231,1
15232,1
15233,2
15234,2
15235,2
15236,1
15237,2
15238,1
15239,2
15240,1
15241,2
15242,2
15243,2
15244,2
15245,2
15246,2
15247,2
15248,2
15249,2
15250,2
15251,2
15252,2
15253,1
15254,2
15255,2
15256,2
15257,1
15258,1
15259,2
15260,2
15261,1
15262,2
15263,2
15264,2
15265,2
15266,2
15267,1
15268,2
15269,2
15270,2
15271,1
15272,1
15273,2
15274,2
15275,2
15276,2
15277,1
15278,2
15279,2
15280,2
15281,1
15282,1
15283,2
15284,2
15285,1
15286,1
15287,2
15288,2
15289,2
15290,1
15291,2
15292,1
15293,2
15294,2
15295,1
15296,1
15297,2
15298,2
15299,2
15300,1
15301,2
15302,2
15303,1
15304,2
15305,1
15306,1
15307,1
15308,2
15309,2
15310,1
15311,1
15312,2
15313,2
15314,1
15315,2
15316,2
15317,1
15318,2
15319,2
15320,2
15321,2
15322,1
15323,2
15324,1
15325,1
15326,2
15327,1
15328,2
15329,2
15330,2
15331,1
15332,2
15333,2
15334,2
15335,2
15336,1
15337,1
15338,1
15339,1
15340,2
15341,2
15342,2
15343,1
15344,2
15345,1
15346,2
15347,2
15348,2
15349,1
15350,2
15351,2
15352,1
15353,2
15354,2
15355,2
15356,2
15357,1
15358,1
15359,2
15360,2
15361,2
15362,2
15363,1
15364,2
15365,1
15366,2
15367,1
15368,2
15369,2
15370,2
15371,2
15372,1
15373,1
15374,2
15375,2
15376,2
15377,2
15378,1
15379,2
15380,2
15381,1
15382,1
15383,2
15384,1
15385,2
15386,1
15387,2
15388,2
15389,1
15390,2
15391,1
15392,2
15393,2
15394,2
15395,2
15396,2
15397,2
15398,2
15399,2
15400,2
15401,2
15402,2
15403,2
15404,1
15405,1
15406,2
15407,1
15408,1
15409,2
15410,2
15411,2
15412,2
15413,1
15414,2
15415,2
15416,2
15417,2
15418,1
15419,1
15420,1
15421,2
15422,2
15423,2
15424,2
15425,1
15426,1
15427,2
15428,2
15429,2
15430,2
15431,2
15432,1
15433,2
15434,2
15435,1
15436,2
15437,2
15438,1
15439,1
15440,1
15441,2
15442,2
15443,1
15444,1
15445,1
15446,2
15447,1
15448,1
15449,1
15450,1
15451,2
15452,1
15453,2
15454,2
15455,2
15456,1
15457,1
15458,2
15459,1
15460,2
15461,2
15462,2
15463,2
15464,2
15465,1
15466,1
15467,1
15468,2
15469,2
15470,1
15471,1
15472,1
15473,2
15474,2
15475,2
15476,2
15477,2
15478,2
15479,2
15480,2
15481,2
15482,2
15483,2
15484,1
15485,2
15486,2
15487,1
15488,1
15489,1
15490,2
15491,2
15492,2
15493,1
15494,2
15495,2
15496,2
15497,2
15498,2
15499,2
15500,2
15501,2
15502,1
15503,1
15504,2
15505,5
15506,5
15507,5
15508,5
15509,2
15510,5
15511,5
15512,5
15513,5
15514,5
15515,5
15516,5
15517,5
15518,5
15519,1
15520,2
15521,2
15522,2
15523,2
15524,2
15525,5
15526,5
15527,1
15528,2
15529,2
15530,2
15531,1
15532,5
15533,5
15534,5
15535,1
15536,1
15537,1
15538,1
15539,5
15540,5
15541,5
15542,1
15543,2
15544,1
15545,5
15546,5
15547,5
15548,5
15549,5
15550,5
15551,1
15552,2
15553,2
15554,1
15555,2
15556,5
15557,5
15558,5
15559,2
15560,2
15561,1
15562,2
15563,2
15564,1
15565,2
15566,2
15567,2
15568,2
15569,1
15570,2
15571,2
15572,2
15573,2
15574,2
15575,2
15576,2
15577,2
15578,2
15579,2
15580,1
15581,2
15582,2
15583,2
15584,1
15585,2
15586,2
15587,1
15588,2
15589,1
15590,1
15591,2
15592,1
15593,2
15594,2
15595,2
15596,2
15597,2
15598,2
15599,1
15600,2
15601,2
15602,1
15603,2
15604,2
15605,1
15606,1
15607,2
15608,1
15609,1
15610,1
15611,2
15612,2
15613,1
15614,2
15615,2
15616,2
15617,2
15618,2
15619,2
15620,1
15621,2
15622,2
15623,2
15624,2
15625,2
15626,2
15627,2
15628,1
15629,2
15630,2
15631,2
15632,2
15633,1
15634,2
15635,1
15636,1
15637,2
15638,2
15639,2
15640,2
15641,1
15642,1
15643,2
15644,2
15645,2
15646,2
15647,2
15648,2
15649,2
15650,1
15651,1
15652,2
15653,1
15654,2
15655,2
15656,2
15657,2
15658,2
15659,2
15660,2
15661,2
15662,2
15663,2
15664,2
15665,2
15666,2
15667,2
15668,2
15669,2
15670,2
15671,2
15672,2
15673,2
15674,2
15675,2
15676,2
15677,2
15678,2
15679,2
15680,2
15681,2
15682,2
15683,2
15684,2
15685,1
15686,2
15687,1
15688,2
15689,2
15690,1
15691,2
15692,2
15693,2
15694,2
15695,2
15696,2
15697,2
15698,2
15699,2
15700,2
15701,2
15702,2
15703,2
15704,2
15705,2
15706,2
15707,1
15708,2
15709,2
15710,5
15711,2
15712,2
15713,2
15714,2
15715,2
15716,5
15717,2
15718,1
